Item Number,product,brand,new_price,old_price,num_reviews,rating,recommand,key_benefit,Weight,Food Form,Lifestage,Food Texture,Special Diet,Packaging Type
95708,"Wellness CORE Grain-Free Hearty Cuts in Gravy Shredded Chicken & Tuna Recipe Canned Cat Food, 5.5-oz, case of 24",Wellness,63.84,0.0,23,4.3,91,"100% grain-free adult recipe is made with lean, shredded chicken and tuna as the first ingredients for the protein needed to support lean muscles.,Loaded with anti-oxidant rich cranberries, vitamins, balanced minerals, omega fatty acids and essential taurine to support immunity and well-being.,Your kitty will love the delicious flavor and savory gravy, as a meal on its own or poured over kibble as a tasty meal topper.,Helps keep your pal hydrated and supports urinary health with healthy moisture from real broth in every can.,Made in the USA with the world’s finest ingredients without any grains, carrageenan, or artificial preservatives, colors or flavors.",,Wet Food,Adult,Chunks in Gravy,"Grain-Free, No Corn No Wheat No Soy, Pea-Free",Can
141879,"Tiny Tiger Pate Seafood Recipe Grain-Free Canned Cat Food, 3-oz, case of 24",Tiny Tiger,12.99,0.0,57,3.6,70,"Grain-free paté features real ocean fish as the first ingredient for the protein and flavor cats crave.,Provides high-quality animal protein for the amino acids needed to maintain lean, active muscles.,A complete and balanced meal in every bowl, with vitamins, minerals and essential taurine.,Real broth provides the necessary moisture levels to help add daily hydration to meals.,Manufactured in the USA with ingredients from around the world, and never any grains, corn, wheat, soy or carrageenan.",,Wet Food,Adult,Pate,"Grain-Free, No Corn No Wheat No Soy, Pea-Free",Can
136933,Zesty Paws Raw Freeze-Dried Salmon Skin & Coat Support Dog & Cat Treats,Zesty Paws,18.97,29.97,308,4.6,94,"Mouthwatering morsels are made with 100% wild-caught, sustainably-sourced, wholesome Pacific sockeye salmon.,Helps promote joint pain relief and restore flexibility in older pets, while also bolstering overall immune function to keep them happy and healthy.,Ideal for pets relieving itchy, flaky skin and reducing or eliminating dandruff; helps reduce shedding and gives your pet a bright, beautiful coat.,Made without grain, corn, soy, artificial flavors or preservatives in an FDA-registered, Good Manufacturing Practice (GMP)-certified U.S. facility.,Rapid freeze-drying process preserves the rich, natural Omega-3 EPA and DHA fatty acids.",,Freeze-Dried,Adult,,"Raw, Non-GMO",
50934,"Natural Balance Platefulls Indoor Formula Mackerel & Sardine in Gravy Grain-Free Cat Food Pouches, 3-oz pouch, case of 24",Natural Balance,25.26,30.0,37,4.2,84,"Gourmet, grain-free wet food features premium-quality mackerel, chicken and sardines as the top ingredients.,Loaded with wholesome veggies like spinach and carrots, and provides a 100% complete and balanced diet for adult cats.,Packed with limited carbohydrate sources for highly-digestible energy, and balanced omega-3 and 6 fatty acids for a healthy skin and coat.,Fortified with vitamins, minerals and essential taurine to help maintain healthy eyes and heart, plus broth for added hydration.,Packed with pride in the USA and made with zero grains, corn, soy, wheat, artificial flavors, colors or bleached ingredients.",,Wet Food,Adult,Chunks in Gravy,"Indoor, Grain-Free, No Corn No Wheat No Soy",Pouch
75250,"Royal Canin Spayed/Neutered Loaf in Sauce Canned Cat Food, 5.8-oz, case of 24",Royal Canin,42.98,47.3,28,3.9,79,"Formulated for adults cats over 1 year,Features a proven Macro Nutrient profile that is preferred by cats,Formulated with balanced vitamins and minerals to keep spayed and neutered cats healthy,Features a moderate energy level to help adult cats over 1 year maintain their ideal weight,Represents the balance between proteins, fats, and carbohydrates",8.7,Wet Food,Adult,Pate,"Weight Control, Pea-Free",Can
77068,"Halo Rabbit & Garden Greens Recipe Grain-Free Sensitive Stomach Canned Cat Food, 5.5-oz, case of 12",Halo,23.66,26.52,75,3.7,74,"Made with real, whole rabbit and never any rendered meat meal, like chicken meal or fish meal.,Special recipe is formulated with novel proteins and non-GMO greens like dandelion, barley grass and parsley to support easy digestion.,Complete and balanced nutrition is fortified with essential vitamins, minerals and trace nutrients, including taurine for strong, healthy eyes and heart.,Made in the USA with no grains, meat-meals, hormones or antibiotics, as well as no artificial colors, flavors or preservatives; packed in BPA-free cans for safety.,Smooth, delicious texture provides additional hydration and can be used as a delicious topper over dry kibble to entice a finicky eater.",,Wet Food,Adult,Pate,"Grain-Free, Sensitive Digestion, Pea-Free",Can
50563,Now Fresh Grain-Free Adult Recipe Dry Cat Food,Now Fresh,62.61,65.99,100,4.6,94,"A grain- and gluten-free formula that is free from any corn, wheat, soy or fillers.,Free of any rendered meats or meat by-products,Balanced and high-protein content supports an active cat’s lifestyle.,Added omega-3 and omega-6 fatty acids support a soft and shiny coat.,Added prebiotics and probiotics aid in good digestive health.",16.0,Dry Food,Adult,,"Grain-Free, Gluten Free, No Corn No Wheat No Soy, Non-GMO",
46686,"AvoDerm Natural Grain-Free Salmon & Chicken Entree in Gravy Canned Cat Food, 3-oz, case of 24",AvoDerm,17.74,20.87,32,4.1,84,"Salmon and fish broth are the top ingredients, plus chicken and sardines for the animal-sourced protein your kitty thrives on.,Avocado oil sourced from California avocados plus sunflower oil provide omega-3 and 6 fatty acids for skin and coat health.,Superfood source of vitamins, minerals and health-supporting phytonutrients from avocados, plus taurine, antioxidants and essential amino acids.,Provides a balanced and complete diet for cats of all ages, in a delicious gravy even picky eaters won’t turn down.,Made with real fish broth for much-needed hydration to help support urinary and overall health, and zero grains so it’s great for cats with sensitivities.",,Wet Food,Adult,Minced,Grain-Free,Can
147754,"Tiny Tiger Chunks in Gravy Tuna Recipe Grain-Free Canned Cat Food, 3-oz, case of 24",Tiny Tiger,12.99,0.0,61,4.0,82,"Grain-free recipe with chunks of real tuna as the first ingredient for the protein and flavor cats crave.,Provides high-quality animal protein for the amino acids needed to maintain lean, active muscles.,Delicious gravy keeps them coming back to the bowl, and has real broth for healthy hydration.,A complete and balanced meal in every bowl, with vitamins, minerals and essential taurine.,Available in a range of proteins for the variety cats love, with never any grains, corn, wheat, soy or carrageenan.",4.5,Wet Food,Adult,Chunks in Gravy,"Grain-Free, Gluten Free, No Corn No Wheat No Soy, Pea-Free",Can
123863,Whole Earth Farms Grain-Free Real Whitefish & Tuna Recipe Dry Cat Food,Whole Earth Farms,24.99,0.0,22,4.3,95,"Whitefish meal is the first ingredient to supply your cat with high-quality protein.,Also contains protein from tuna and peas for the benefit of multiple protein sources.,Vitamins and minerals make it a complete and balanced meal to keeps cats thriving.,No corn, wheat, soy, or poultry by-product or artificial flavors, colors or preservatives.,Cooked in America with the world’s best ingredients with care and quality.",10.0,Dry Food,Adult,,"No Corn No Wheat No Soy, Grain-Free",
148918,"Wild Frontier by Nutro Chicken, Turkey & Duck Recipe Variety Pack Grain-Free High-Protein Adult Cuts in Gravy Cat Food Trays, 2.6-oz, case of 12 twin-packs",Wild Frontier,17.89,18.99,21,3.8,76,"Protein-rich soft cat food with at least two sources of high-quality protein that satisfies your cat’s natural desire for wild prey.,This non-GMO, animal-based wet cat food has a meaty textures cat’s love and supports your pal’s lean muscles and healthy play.,This grain-free wet cat food is made with premium ingredients and is formulated for healthy digestion and a balanced diet.,Natural cat food that includes vitamins, minerals and other nutrients, yet doesn’t contain artificial flavors or preservatives.,Variety-pack contains six twin-packs of Wild Frontier Turkey & Duck Cuts in Gravy recipes and six twin-packs of Wild Frontier Chicken Cuts in Gravy recipes.",1.95,Wet Food,Adult,Chunks in Gravy,"Grain-Free, High-Protein, No Corn No Wheat No Soy, Pea-Free","Tray, Variety Pack"
60678,"Cat-Man-Doo Bow Wow Bonito Dog Treats, 4-oz bag",Cat-Man-Doo,19.99,0.0,61,4.7,95,"All natural shaved dried bonito fish are a healthy treat for your dog and cat.,No additives or preservatives, just fish!,High-protein appetite stimulant, while also staying low fat.,Helps entice finicky eaters when crumbled on food.,Natural fish oils will keep your cat or dog’s fur shiny and beautiful.",0.25,Freeze-Dried,Adult,,"High-Protein, Limited Ingredient Diet, Grain-Free",
65685,Castor & Pollux Organix Grain-Free Organic Chicken Recipe All Life Stages Canned Cat Food,Castor & Pollux,36.48,40.56,97,4.0,80,"All life-stage wet food is made with organic free-range chicken as the first ingredient for animal sourced protein to support healthy muscles.,Packed with wholesome veggies and cranberries, plus essential vitamins, minerals and taurine to support healthy eyes and a healthy heart.,Contains omega-3 and 6 fatty acids to nourish skin and fur, with zero grains, corn, soy, or wheat so it’s great for kitties with sensitivities or food allergies.,Supports digestive and urinary health by providing adequate hydration from real, tasty broth, and includes fiber for healthy tummies and hairball control.,Made in the USA with organic ingredients from sustainable farms and grown without chemical pesticides, synthetic fertilizers, added growth hormones or antibiotics.",,Wet Food,Adult,Pate,"Grain-Free, Organic, No Corn No Wheat No Soy, Non-GMO",Can
68658,"Vital Essentials Turkey Freeze-Dried Raw Dog & Cat Food Topper, 6-oz bag",Vital Essentials,12.67,12.99,41,4.0,86,"Grain free and gluten free freeze-dried turkey meal topper ideal for cats and dogs of all life stages.,Complete and balanced entree can be fed as a topper, supplement or a full meal.,No added hormones, antibiotics, colors, fillers, flavorings and no synthetic vitamins or minerals.,Exclusive freeze-drying process retains all active nutritional elements in the food while allowing the food to be safely and conveniently stored without refrigeration.,Sourced, made and packed in the USA.",,Freeze-Dried,Adult,,"Grain-Free, Gluten Free, Limited Ingredient Diet, Raw, Pea-Free",
177926,"Meow Mix Poultry & Seafood Variety Pack Grain-Free Cat Food Trays, 2.75-oz, case of 12",Meow Mix,9.29,9.79,15,2.8,67,"100% free of corn, wheat and soy so felines with certain food allergies can enjoy this tasty recipe.,Crafted with real fish or chicken in sauce or gravy for the high-quality protein your cat deserves.,Made without ingredients you want your kitty to avoid like fillers, artificial flavors and added preservatives.,Fortified with essential vitamins and minerals for overall health.,Offers your adult cat the 100% complete and balanced nutrition she needs.",0.171875,Wet Food,Adult,Chunks in Gravy,"Grain-Free, No Corn No Wheat No Soy",Tray
87847,Merrick Limited Ingredient Diet Grain-Free Real Salmon Recipe Dry Cat Food,Merrick,36.99,0.0,84,3.8,74,"Grain-free recipe features protein-rich salmon as the first ingredient for the essential nutrients to support healthy muscles and energy.,Single animal source protein is great for kitties with sensitivities and allergies, or on limited ingredient diets.,Enhanced with added vitamins, minerals, taurine and probiotics to support digestive health.,Packed with antioxidants for immune health and omega-3 and 6 fatty acids to support a healthy skin and lustrous fur.,Made in the USA with locally-sourced ingredients from trusted growers, with zero grains, wheat, corn, soy, artificial colors, flavors or preservatives.",12.0,Dry Food,Adult,,"Sensitive Digestion, Limited Ingredient Diet, Grain-Free, Gluten Free, No Corn No Wheat No Soy",
125609,"Vital Essentials Turkey Mini Nibs Entree Freeze-Dried Cat Food, 12-oz bag",Vital Essentials,24.37,24.99,31,3.8,74,"USA sourced, made and packaged with farm-raised, pasture-fed, free-run, and wild-caught ingredients. Grain, gluten and guilt free!,Promotes digestive health, oral health, optimum weight, thick glossy coats, firm muscles and strong bones.,No added hormones, antibiotics, fillers or flavorings or artificial preservatives, colors or synthetic vitamins/minerals.,Supports the ALPHA Prey–Model Diet that is the closest to a feline’s natural diet in the wild.,Formulated to meet the nutritional levels established by the AAFCO Cat Food Nutrient Profiles for all life stages.",0.75,Freeze-Dried,Adult,,"Gluten Free, Grain-Free, Limited Ingredient Diet, Pea-Free",
86325,Natural Balance L.I.D. Limited Ingredient Diets Salmon & Green Pea Formula Grain-Free Canned Cat Food,Natural Balance,38.2,45.36,120,3.7,72,"Limited-ingredient, grain-free wet food features lean, premium-quality salmon as the top ingredient.,Single and unique animal protein source is great for kitties with sensitivities to help prevent food allergies.,Packed with limited carbohydrate sources from peas for highly-digestible energy, and balanced omega-3 and 6 fatty acids for a healthy skin and coat.,Fortified with vitamins, minerals and essential taurine to help maintain healthy eyes and heart, plus broth for added hydration.,Packed with pride in the USA and made with zero grains, artificial flavors, colors or bleached ingredients.",,Wet Food,Adult,Pate,"Sensitive Digestion, No Corn No Wheat No Soy, Limited Ingredient Diet, Grain-Free",Can
104977,Feline Natural Chicken & Venison Feast Grain-Free Canned Cat Food,Feline Natural,54.96,0.0,47,4.3,87,"Made from free-range, grass-fed chicken and venison that's sourced from only the finest sources in New Zealand,New Zealand green lipped mussel is added to provide the highest concentration of omega-3 fatty acids that aren’t found in any other marine or plant life,All-natural formula containing no wheat, rice, soy or gluten, which makes it great for feline friends with food allergies,No artificial ingredients, additives or preservatives and is free of all gelling agents—the only thing added is natural, fresh New Zealand water,Nutritionally appropriate diet for all breeds, and can be fed to cats at any stage of life—from kittens to seniors, and during pregnancy and lactation",,Wet Food,Adult,Pate,"Grain-Free, Gluten Free, No Corn No Wheat No Soy, High-Protein, Limited Ingredient Diet, Pea-Free, Non-GMO",Can
119119,"Instinct by Nature's Variety Raw Boost Grain-Free Recipe with Real Duck Dry Cat Food, 4.5-lb bag",Instinct,24.99,0.0,63,4.6,93,"Boosted nutrition with high-protein kibble + freeze-dried raw.,Cage-free duck is the first ingredient so it’s packed with animal protein for strong, lean muscles.,Includes a probiotic boost for digestive health, higher levels of omegas for healthy skin and coat, and more antioxidants for immune health.,Never contains any grain, potato, corn, wheat, soy, by-product meal, artificial colors or preservatives.,Made in the USA with the finest ingredients from around the world.",,Dry Food,Adult,,"Grain-Free, No Corn No Wheat No Soy, Raw",
147678,"Blue Buffalo Natural Veterinary Diet GI Gastrointestinal Support Grain-Free Dry Cat Food, 7-lb bag",Blue Buffalo Natural Veterinary Diet,38.49,0.0,15,4.5,87,"Gastrointestinal support canned cat food with readily digestible proteins, carbohydrates and fats for optimal nutrient absorption your pal will feel good about.,Veterinary diet formula made with prebiotic fibers to help balance and support your pal’s healthy microflora for overall gastrointestinal health.,Contains vitamins E, C, along with antioxidant-rich ingredients such as blueberries and cranberries to support a healthy immune system.,Prescription-only food made without the grains many pet parents choose to avoid, making it great for sensitive tummies.,A wholesome, natural diet made with the finest ingredients available that have both beneficial nutrition and a taste your furry friend will love.",7.0,Dry Food,Adult,,"Grain-Free, No Corn No Wheat No Soy, Veterinary Diet",
150815,"Authority Chicken & Liver Entree in Gravy Adult Shredded Canned Cat Food, 5.5-oz, case of 24",Authority,21.36,0.0,7,4.0,86,"High-quality protein sources like real chicken and chicken liver help maintain strong, lean muscles and encourage a healthy heart.,Omega-3 and 6 fatty acids help nourish healthy skin and a shiny coat.,Provides a great source of taurine to support the overall health of your cat companion.,Contains zero artificial colors, flavors, or preservatives.,Made in the USA with domestic and imported ingredients your cat won’t be able to resist.",8.25,Wet Food,Adult,Shredded,,Can
150614,Solid Gold Indigo Moon High Protein Wild Alaskan Pollock & Eggs Recipe Grain-Free Dry Cat Food,Solid Gold,33.29,34.99,20,4.8,95,"Grain-free diet that gives your furry friend with a meal sure to please even the pickiest palate.,Features fresh-caught Alaskan pollock, nutrient-rich whole egg and a unique blend of functional superfoods.,High-protein formula full of nutrient-dense ingredients and healthy fats for active cats or those with diabetic health concerns.,Includes fiber-rich peas for a highly digestible energy source with living probiotics and omega fatty acids.,Contains no corn, wheat and soy because your kitty deserves nothing but the best.",12.0,Dry Food,Adult,,"Grain-Free, Gluten Free, No Corn No Wheat No Soy, High-Protein",
52124,Wellness Morsels Turkey Dinner Cubes in Rich Gravy Grain-Free Canned Cat Food,Wellness,47.52,0.0,41,4.6,95,"100% grain-free adult recipe features turkey as the first ingredient for the protein needed to support lean muscles.,Supports the 5 signs of kitty wellness—a lustrous skin and coat, healthy tummies, bright eyes and strong teeth and gums, and plenty of energy and immune health.,Loaded with antioxidant-rich cranberries, vitamins, balanced minerals, omega fatty acids and essential taurine to support immunity and well-being.,Helps keep your pal hydrated and supports urinary health with healthy moisture from real broth in every can.,Made in the USA with the world’s finest ingredients and zero grains or artificial preservatives, colors or flavors.",,Wet Food,Adult,Chunks in Gravy,"Grain-Free, No Corn No Wheat No Soy",Can
86322,Natural Balance Ultra Premium Ocean Fish Formula Canned Cat Food,Natural Balance,38.2,45.36,53,4.4,92,"High-protein wet food features lean, premium-quality ocean fish as the top ingredient plus wholesome veggies.,Makes for a complete meal on its own for adult cats or kittens, or as a tasty kibble topper.,Packed with complex carbohydrates for energy, and balanced omega-3 and 6 fatty acids for a healthy skin and coat.,Fortified with vitamins, minerals and essential taurine to help maintain healthy eyes and heart, plus broth for added hydration.,Packed with pride in the USA and made with zero artificial flavors, colors or bleached ingredients.",,Wet Food,Adult,Pate,,Can
61809,"Royal Canin Veterinary Diet Calorie Control Morsels In Gravy Canned Cat Food, 3-oz can, case of 24",Royal Canin Veterinary Diet,35.04,0.0,20,4.7,95,"Helps maintain muscle mass with high protein.,Essential nutrients help ensure balanced nutrition during weight loss.,Helps support joints stressed by excess body weight.,Veterinary-exclusive dry cat food that helps promote weight loss in overweight adult cats.,Promotes a healthy urinary system with Royal Canin Urinary S/O Index to prevent the formation of harmful crystals.",4.5,Wet Food,Adult,Chunks in Gravy,"High-Protein, Weight Control, Pea-Free, Veterinary Diet",Can
64295,Merrick Purrfect Bistro Grain-Free Surf & Turf Grain-Free Canned Cat Food,Merrick,38.66,42.96,83,4.3,88,"Grain-free recipe features protein-rich beef, chicken and salmon as the top ingredients for the nutrients to support healthy muscles and energy.,Formulated to provide a complete and balanced diet for cats and kittens, with targeted blend of vitamins, minerals and taurine.,Packed with antioxidants for immune health and omega-3 fatty acids to support a healthy skin and lustrous fur.,Delectable pate texture is great for picky eaters, and provides essential moisture to keep your pal hydrated and healthy.,Made in the USA with zero grains, wheat, corn, soy, artificial colors, flavors or preservatives and contains yucca schidigera to promote gentle digestion.",,Wet Food,Adult,Pate,"Grain-Free, Gluten Free, No Corn No Wheat No Soy, High-Protein, Pea-Free",Can
194656,"Purina Pro Plan Veterinary Diets Crunchy Bites Real Chicken Cat Treats, 1.8-oz pouch",Purina Pro Plan Veterinary Diets,4.99,0.0,4,4.0,75,"Each treat contains less than 2 calories, so you can reward your cat without overindulging.,Helps clean teeth and freshen breath as your kitty chews.,The crunchy texture helps scrape away plaque and tartar.,Contains natural liver and chicken flavors for the lip-smacking taste cats love.,Stamped with the seal of acceptance by the Veterinary Oral Health Council for helping to control plaque and tartar.",2.4,Food Topping,Adult,,"Weight Control, Veterinary Diet",
203648,"Instinct by Nature's Variety Freeze-Dried Raw Boost Mixers Grain-Free Digestive Health Recipe Cat Food Topper, 0.75-oz bag",Instinct,1.99,0.0,5,5.0,100,"Use as a meal topper for additional fiber, whole foods and probiotics in your cat’s diet.,Features cage-free chicken and whole-food ingredients like pumpkin, sweet potatoes, chicory root and apple cider vinegar.,Live probiotics help encourage digestive health.,Gently freeze-dried to preserve nutrients and flavor.,Made in the USA without grain, corn, wheat, soy, potato, artificial flavors and preservatives.",0.046875,Food Topping,Adult,,"Grain-Free, High-Protein, No Corn No Wheat No Soy, Gluten Free, Pea-Free",
141100,"Earthborn Holistic Fin & Fowl Tuna Dinner with Chicken in Gravy Grain-Free Cat Food Pouches, 3-oz pouch, case of 24",Earthborn Holistic,23.76,0.0,24,4.1,92,"Holistic, grain-free formula is made with tuna and chicken as the top ingredients so it’s high in animal sourced protein.,Loaded with protein to support strong muscles, plus vitamin-rich celery for well-rounded nutrition in every bowl and irresistible gravy.,Packed with balanced minerals, vitamins, amino acids and essential taurine to support vision and heart health.,Keeps your pal hydrated and supports urinary health with plenty of moisture and water from real broth.,Made with zero grains and gluten with dolphin-safe tuna and comes in BPA-free, easy-to-use pouches.",4.5,Wet Food,Adult,Chunks in Gravy,"Grain-Free, Gluten Free, Pea-Free",Pouch
146478,"Castor & Pollux Organix Grain-Free Organic Kitten Recipe Dry Cat Food, 3-lb bag",Castor & Pollux,15.99,19.99,6,4.3,100,"All-natural kitten food is made with organic free-range chicken as the first ingredient for animal-sourced protein to support healthy muscles.,Packed with organic flaxseed, organic coconut oil, and organic cranberries, plus essential DHA to support your kitty's growth.,Contains zero grains, corn, soy, or wheat so it’s great for kittens with sensitivities or food allergies.,Certified organic food is always free of GMOs.,Made in the USA with organic ingredients from sustainable farms and grown without chemical pesticides, synthetic fertilizers, added growth hormones or antibiotics.",3.0,Dry Food,Kitten,,"No Corn No Wheat No Soy, Grain-Free, Organic",
95720,"Wellness Healthy Indulgence Morsels with Chicken & Salmon in Savory Sauce Grain-Free Wet Cat Food Pouches, 3-oz, case of 24",Wellness,31.68,0.0,17,4.3,88,"100% grain-free recipe is made with real chicken and salmon as the top ingredients for a high-quality animal protein source.,Promotes the 5 signs of kitty wellness—plenty of energy, a lustrous skin and coat, sound digestion and immunity, plus strong teeth and healthy eyes.,Tasty sauce makes mealtime irresistible, and is great as a complete meal in every pouch or kibble topper for picky eaters.,Helps promote urinary health with essential moisture from broth to keep your kitty hydrated and antioxidant-rich cranberries.,Zero gluten, wheat, corn, soy or artificial colors, flavors or preservatives so it’s great for kitties with sensitivities.",,Wet Food,Adult,Chunks in Gravy,"Grain-Free, No Corn No Wheat No Soy, Pea-Free",Pouch
102923,Tiki Cat Aloha Friends Tuna with Shrimp & Pumpkin Grain-Free Wet Cat Food,Tiki Cat,11.45,12.72,42,4.3,88,"Wild-caught flaked tuna is the first ingredient plus shrimp for the animal-sourced protein carnivores thrive on.,With fiber-rich, antioxidant-packed pumpkin for digestive health, plus sunflower oil rich in omegas that nourish the skin and coat.,Provides a balanced and complete diet for cats of all ages with essential amino acids, vitamins, minerals and taurine.,Made with real tuna broth so it provides essential moisture to keep your pal hydrated and support overall health.,Succulent flaked meat formula is great for picky eaters, and contains no grains, gluten, or GMOs; made with dolphin-safe, mercury-tested tuna.",,Wet Food,Adult,Shredded,"Grain-Free, Gluten Free, Pea-Free, Non-GMO",Can
133045,"Halo Holistic Chicken & Chicken Liver Recipe Grain-Free Senior Dry Cat Food, 6-lb bag",Halo,28.22,32.23,54,3.4,70,"Made with real, whole chicken and never any rendered meat meal, like chicken meal or fish meal.,Special recipe is formulated with lower calories and fat along with higher fiber to meet the needs of aging cats; the grain-free recipe is easy on her digestion.,Wholesome, non-GMO sweet potatoes, blueberries, carrots and cranberries provide essential antioxidants, fiber and vitamins.,Made in the USA with no grains, meat-meals, hormones or antibiotics, as well as no artificial colors, flavors or preservatives.,Proprietary DreamCoat supplement provides essential fatty acids and nutrients for healthy skin and a lustrous coat.",6.0,Dry Food,Senior,,"Grain-Free, Non-GMO",
132400,"Almo Nature Natural Chicken & Tuna Variety Pack Grain-Free Canned Cat Food, 2.47-oz, case of 12",Almo Nature,18.15,19.29,31,4.3,90,"All-natural formulas are grain-free, GMO-free and crafted with 100% natural ingredients.,Low fat, low carbohydrate formulas are perfect for overweight cats or cats with specific dietary needs.,Holistically designed with limited ingredients to prevent allergies and reduce digestive issues.,Limited Ingredient formula is free of carrageenan, guar gum and other synthetic additives and fillers.,Variety pack includes Chicken and Tuna flavors which can be mixed to prevent boredom in picky eaters.",5.42,Wet Food,Adult,Chunks in Gravy,"Grain-Free, Limited Ingredient Diet, Pea-Free","Can, Variety Pack"
135628,"Purina Beyond Simple Origins Grain-Free Wild Alaskan Salmon & Spinach Recipe Canned Cat Food, 3-oz, case of 12",Purina Beyond,16.19,0.0,15,4.5,93,"Pate with salmon as the first ingredient for the simple, high-protein diet cats thrive on.,Loaded with vitamins, minerals, antioxidants and taurine to support overall health, and accented with wholesome veggies like spinach.,Formulated by pet nutritionists using only natural ingredients with no corn, wheat, soy, fillers, artificial colors, flavors or preservatives.,Provides a complete and balanced meal for adult cats, with chicken broth to add much-needed hydration to your kitty’s diet.,Made in USA facilities with high-quality, honestly-sourced and non-GMO ingredients.",2.25,Wet Food,Adult,Pate,"No Corn No Wheat No Soy, Grain-Free, Pea-Free",Can
86246,"Purina Pro Plan Savor Adult Salmon Entrée with Wild Rice Braised in Sauce Canned Cat Food, 3-oz, case of 24",Purina Pro Plan,23.28,0.0,11,4.5,91,"100% complete and balanced diet specifically formulated to support a healthy, active lifestyle for adult cats,Savory entrée packed with real salmon complimented with wild rice braised in sauce provides the ultimate texture and taste your cat craves,Powerful antioxidants support a strong immune system and optimal protein and fat levels help to promote an ideal body composition,Omega-6 fatty acids are included to maintain healthy skin and a beautiful shiny coat,Proudly manufactured in Purina-owned U.S.A facilities and does not contain any added artificial colors, flavors, or preservatives",,Wet Food,Adult,Chunks in Gravy,,Can
95256,Nulo Freestyle Beef & Lamb Recipe Grain-Free Canned Cat & Kitten Food,Nulo,45.36,0.0,39,4.3,89,"Grain-free formula for cats and kittens free from added corn, wheat or soy,Made with only wholesome cuts of meat and no meat by-product,Free from any artificial flavors, colors, flavoring and carrageenan,Added vegetables and fruits support optimal immune health,Contains added essential vitamins like D2, B12 and vitamin E",,Wet Food,"Kitten, Adult",Pate,"Grain-Free, No Corn No Wheat No Soy, Gluten Free, High-Protein, Low Glycemic, Pea-Free, Non-GMO",Can
141600,"Nulo Freestyle Shredded Beef & Rainbow Trout in Gravy Grain-Free Canned Cat & Kitten Food, 3-oz, case of 24",Nulo,35.76,0.0,21,4.1,90,"Complementary protein duo features beef and rainbow trout as top ingredients for the animal protein and flavor your little carnivore craves.,Packed with whole-body health nutrients like vitamins, minerals, omegas and essential taurine for overall well-being.,Zero grains, carrageenan, meat by-products, corn, wheat, soy or artificial preservatives, colors or flavoring.,Keeps your kitty hydrated with plenty of moisture from broth-based gravy, and has an irresistible texture cats love.,Made in the USA and comes in conveniently portioned, easy-open cans to make mealtime easy and hassle-free.",5.0,Wet Food,"Kitten, Adult",Shredded,"Grain-Free, No Corn No Wheat No Soy, Gluten Free, Low Glycemic",Can
61819,"Royal Canin Veterinary Diet Senior Consult Canned Cat Food, 5.8-oz can, case of 24",Royal Canin Veterinary Diet,44.88,44.99,24,3.8,78,"Uniquely formulated by veterinarians to support optimal healthy feline aging in all breeds of senior cats.,Provides complete nutrition for senior cats with reduced phosphorus content and the ideal mix of nutrients.,Helps to maintain the ideal weight in mature cat companions with prebiotics and an exclusive mix of fibers.,Fortified with glucosamine and chondroitin to help support ultimate joint health and mobility in senior cats.,Royal Canin Urinary S/O Index® helps to promote a healthy bladder and prevent the formation of urinary crystals.",8.7,Wet Food,Senior,Pate,"Pea-Free, Veterinary Diet",Can
94212,"Instinct by Nature's Variety Healthy Cravings Grain-Free Real Chicken Recipe Wet Cat Food Topper, 3-oz pouch, case of 24",Instinct,26.13,30.96,20,4.6,90,"Cuts of cage-free chicken in a savory gravy make the perfect meal complement.,Use it as a topper or mixer to add the delicious taste and moisture your cat craves.,Never contains any grains, potato, corn, wheat, soy, by-product meal or artificial colors or preservatives.,Made in the USA with the finest ingredients from around the world.,Guided by the belief in nutrition that is real, whole, pure and as close to its natural state as possible.",,Food Topping,Adult,,"Grain-Free, No Corn No Wheat No Soy",Pouch
154948,"Rachael Ray Nutrish PEAK Natural Grain-Free Open Water Recipe with Salmon, Atlantic Cod & Mackerel Dry Cat Food",Rachael Ray Nutrish,10.99,0.0,41,4.6,93,"Kitty kibble recipe provides 40% of the high-quality protein cats instinctually crave.,Real salmon is the first ingredient, plus cod, mackerel, potatoes and flaxseed.,Made with zero grains, glutens, fillers or artificial flavors, colors or preservatives.,Features real fish and fish meal—with absolutely no by-product or by-product meals.,Cooked safely in the USA, with the world's best ingredients.",3.0,Dry Food,Adult,,"Grain-Free, High-Protein, Gluten Free",
135632,"Purina Beyond Simple Origins Farm-Raised Chicken, Wild Caught Shrimp & Carrot Grain-Free Recipe Canned Cat Food, 3-oz, case of 12",Purina Beyond,15.14,0.0,19,4.4,95,"Pate with farm-raised chicken as the first ingredient and wild-caught shrimp for the simple, high-protein diet cats thrive on.,Loaded with vitamins, minerals, antioxidants and taurine to support overall health, and accented with wholesome veggies like carrots.,Formulated by pet nutritionists using only natural ingredients with no corn, wheat, soy, fillers, artificial colors, flavors or preservatives.,Provides a complete and balanced meal for adult cats, with chicken broth to add much-needed hydration to your kitty’s diet.,Made in USA facilities with high-quality, honestly-sourced and non-GMO ingredients.",2.66,Wet Food,Adult,Pate,"No Corn No Wheat No Soy, Grain-Free, Pea-Free",Can
