brand,info_dict,key_benefit,new_price,num_reviews,old_price,product,rating,recommand
Simply Nourish,"{'Item Number': '172730', 'Weight': '7.0\xa0pounds', 'Food Form': 'Dry Food', 'Lifestage': 'Adult', 'Special Diet': 'Grain-Free, Gluten Free'}","Grain-free complete and balanced nutrition for cats with unique dietary preferences.,Real deboned chicken to help support a healthy heart and body.,Natural wholesome ingredients with added essential vitamins and minerals.,Loads of flavor made specifically for those adult kitties with his sensitive tummies.,Easily recognizable ingredients, plus it's made with no grains, soy or gluten.",17.99,10,0,"Simply Nourish Grain-Free Chicken Recipe Adult Dry Cat Food, 7-lb bag",4.3,100
Dave's Pet Food,"{'Item Number': '73712', 'Packaging Type': 'Can', 'Food Texture': 'Pate', 'Food Form': 'Wet Food', 'Lifestage': 'Adult', 'Special Diet': 'Grain-Free'}","Helps support optimum urinary health and minimize bladder stones with low levels of magnesium and phosphorus.,With natural pork broth and pork as the first ingredients for the protein and flavor your pal craves; pork is an alternate protein source great for cats with sensitivities.,Great for kitties with urinary tract conditions or inflammation, and is made with zero grain or carrageenan to help prevent food allergies.,Controlled levels of magnesium, calcium, phosphorus, and oxalate help prevent and decrease bladder stones and painful inflammation.,Enhanced with added vitamins, minerals, antioxidants and essential taurine to support overall well-being.",36.89,95,38.19,"Dave's Pet Food Restricted Diet Magnesium & Phosphorus Grain-Free Pork Recipe Canned Cat Food, 5.5-oz, case of 24",4.1,86
Farmina,"{'Item Number': '77402', 'Food Form': 'Dry Food', 'Lifestage': 'Adult', 'Special Diet': 'Low Glycemic, Pea-Free, Non-GMO'}","The #1 ingredient in this high protein, limited carbohydrate, and low fiber all life stage cat food is lamb.,94% of protein is from quality animal sources which makes for a low ash content. Ingredients are also fresh and never frozen for optimum nutrition.,It's a low glycemic formula so it's a great option for pets that need a food that won't spike blood sugar.,This GMO-free formula doesn't contain peas, lentils, pea protein, chickpeas, or added plants oils.,Natural omega fatty acids promote healthy skin and coat while added pomegranate and blueberries are rich in antioxidants to help fight free radicals.",13.76,37,14.33,"Farmina Natural & Delicious Lamb & Ancestral Low-Grain Formula Dry Cat Food, 3.3-lb bag",4.7,100
Hill's Ideal Balance,"{'Item Number': '61893', 'Packaging Type': 'Can', 'Food Texture': 'Chunks in Gravy', 'Brand': ""Hill's"", 'Food Form': 'Wet Food', 'Lifestage': 'Adult', 'Special Diet': 'No Corn No Wheat No Soy'}","A natural cat food with vitamins, minerals, and amino acids to provide key nutrients that are in amounts within an optimal range for your cat, and is precisely balanced for their nutritional needs,Fresh chicken is a lean protein to keep your cat slim and trim and natural brown rice aids in healthy digestion,Vegetables boost natural defenses and cranberries add antioxidants and support bladder health,Flaxseed provides omega -3 and omega 6 fatty acids which improve skin and coat health and eggs are included to help build muscle and maintain organ health,Balanced for adult cats 1-6 years of age",30.96,34,32.99,"Hill's Ideal Balance Slow-Cooked Chicken Recipe Canned Cat Food, 2.9-oz, case of 24",4.1,84
Wellness,"{'Item Number': '155316', 'Weight': '5.5\xa0pounds', 'Brand': 'WellPet', 'Breed Size': 'Small Breeds, Medium Breeds, Large Breeds', 'Food Form': 'Dry Food', 'Lifestage': 'Adult', 'Special Diet': 'Grain-Free, High-Protein, No Corn No Wheat No Soy'}","Wellness’ WellFlex System includes added glucosamine and chondroitin to help support your paw-tner's hip and joint health.,Made with natural ingredients and the nutrients senior cats need.,Grain-free kibble is a great option for felines with sensitive tummies.,Healthy fiber and L-carnitine help senior cats manage their slowing metabolisms.,Vitamins and minerals help support your paw-tners immune system, so she can feel her best.",21.49,11,0,"Wellness Complete Health Chicken & Deboned Chicken Grain-Free Senior Dry Cat Food, 5.5-lb bag",4.3,91
Fancy Feast,"{'Item Number': '76128', 'Weight': '5.3\xa0pounds', 'Packaging Type': 'Can', 'Food Texture': 'Sliced', 'Brand': 'Purina', 'Food Form': 'Wet Food', 'Lifestage': 'Adult'}","Provides a 100% complete and balanced meal for all cats.,The small, delicate and moist morsels are easy for your kitty to eat.,Crafted with a savory, lip-smacking gravy for a rich mealtime experience.,Tasty wet food recipe features tender slices of real meat for the succulent flavor your kitty loves.,Supports urinary health and keeps your pal hydrated with moisture from real broth in every bite.",15.6,10,22.05,"Fancy Feast Sliced Beef Feast in Gravy Canned Cat Food, 3-oz, case of 24",4.6,90
Wellness,"{'Item Number': '49267', 'Packaging Type': 'Can', 'Food Texture': 'Pate', 'Brand': 'Wellness Complete Health, WellPet', 'Food Form': 'Wet Food', 'Lifestage': 'Adult', 'Special Diet': 'No Corn No Wheat No Soy, Grain-Free, Pea-Free'}","100% complete adult recipe features chicken and lobster as the top ingredients for the protein needed to support lean muscles.,Supports the 5 signs of kitty wellness—a lustrous skin and coat, healthy tummies, bright eyes and strong teeth and gums, and plenty of energy and immune health.,Loaded with antioxidant-rich fruits and veggies, and vitamins, balanced minerals, omega fatty acids and essential taurine to support immunity and well-being.,Helps keep your pal hydrated and supports urinary health with healthy moisture from real broth in every can.,Made in the USA with the world’s finest ingredients and zero artificial preservatives, colors or flavors.",39.84,82,0,Wellness Complete Health Chicken & Lobster Formula Canned Cat Food,4.4,88
Meow Mix,"{'Item Number': '125198', 'Weight': '3.0\xa0pounds', 'Food Form': 'Dry Food', 'Lifestage': 'Adult'}","If you can’t bring your cat to the restaurant, bring the restaurant home to her.,Delicious, bistro-inspired meal is carefully prepared with real tuna.,The baked, crunchy kibble brings out the delicious, natural flavors your cat loves.,Formulated with all the essential vitamins and minerals she needs to stay healthy and strong.,Provides 100% complete and balanced nutrition for cats of all ages.",5.7,36,0,Meow Mix Bistro Recipes Seared Tuna Flavor Dry Cat Food,4.2,86
Diamond,"{'Item Number': '143232', 'Weight': '8.25\xa0pounds', 'Packaging Type': 'Can', 'Food Texture': 'Pate', 'Food Form': 'Wet Food', 'Lifestage': 'Adult, Kitten', 'Special Diet': 'No Corn No Wheat No Soy, Pea-Free'}","Packed with high-quality protein with real chicken as the first ingredient for the optimal amino acid profile to support lean, strong muscles.,Enhanced with added vitamins, minerals and taurine, and loaded with veggies and superfoods for naturally-occurring antioxidants, plus tasty moisture for daily hydration.,Nutrient-rich and highly-digestible with prebiotic fiber and nutrients from pumpkin, cranberries, quinoa and blueberries.,Provides a complete, balanced meal on its own or as a kibble topper, with zero corn, wheat, fillers, or artificial flavors, colors or preservatives.,Made in the USA by a family-owned and run company, with trusted, sustainably-sourced ingredients from around the world, and the most scientifically advanced food safety protocols.",23.76,30,0,"Diamond Naturals Chicken Dinner Adult & Kitten Canned Cat Food, 5.5-oz, case of 24",3.9,87
Dr. Tim's,"{'Item Number': '52682', 'Weight': '5.0\xa0pounds', 'Food Form': 'Dry Food', 'Lifestage': 'Adult', 'Special Diet': 'No Corn No Wheat No Soy, High-Protein, Pea-Free'}","Packed with 91% animal protein, this recipe encourages a healthy, energetic lifestyle.,Omega-3 fatty acids from fish oil help to promote healthy skin and a lustrous coat.,High-protein recipe promotes a lean body weight for cats of all life stages.,Unique fiber additions help to prevent hairballs while low magnesium and ash levels promote urinary tract health.,Features patented BC30 probiotic to boost your kitty's digestion and improve cleanup.",17.49,69,18.19,"Dr. Tim's Chase All Life Stages Formula Dry Cat Food, 5-lb bag",4.3,88
Blue Buffalo,"{'Item Number': '84173', 'Packaging Type': 'Can', 'Food Texture': 'Flaked', 'Brand': 'Blue Freedom', 'Food Form': 'Wet Food', 'Lifestage': 'Adult', 'Special Diet': 'Indoor, Grain-Free, Gluten Free, No Corn No Wheat No Soy, Pea-Free'}","100% grain-free recipe starts with protein-rich chicken as the first ingredient to support healthy muscle growth and development.,Inspired by a feline wild diet with vitamins, minerals and essential taurine to support nose-to-tail health.,Helps promote digestive and urinary health with essential moisture from real broth and cranberries.,Good source of omega-3 and 6 fatty acids sourced from flaxseeds to help promote a healthy skin and coat.,Made in the USA with zero grains, by-product meals, corn, wheat, or soy so it’s great for kitties with food sensitivities or allergies.",38.66,24,0,"Blue Buffalo Freedom Indoor Flaked Chicken Recipe Grain-Free Canned Cat Food, 5.5-oz, case of 24",4.1,83
Blue Buffalo Natural Veterinary Diet,"{'Item Number': '147684', 'Weight': '8.25\xa0pounds', 'Packaging Type': 'Can', 'Food Texture': 'Pate', 'Brand': 'Blue Buffalo', 'Food Form': 'Wet Food', 'Lifestage': 'Adult', 'Special Diet': 'Grain-Free, No Corn No Wheat No Soy, Veterinary Diet'}","Kidney support canned cat food with controlled levels of protein to help manage your furry pal’s kidney workload.,Veterinary diet that also has controlled levels of phosphorus and sodium to help support kidney health for a happy and thriving cat.,Enhanced with DHA, glucosamine and chondroitin to support your pal’s healthy joint function and overall mobility.,Made without the grains many pet parents choose to avoid, making this holistic formula great for cats with sensitive tummies.,Prescription-only food that has both beneficial nutrition and added moisture from chicken broth for a taste your furry friend will love.",53.76,42,0,"Blue Buffalo Natural Veterinary Diet K+M Kidney + Mobility Support Grain-Free Canned Cat Food, 5.5-oz, case of 24",3.0,60
Fussie Cat,"{'Item Number': '82519', 'Packaging Type': 'Can', 'Food Texture': 'Aspic / Gelee', 'Food Form': 'Wet Food', 'Lifestage': 'Adult', 'Special Diet': 'Grain-Free, Pea-Free'}","Made in a high-quality manufacturing plant,Grain and potato-free: great for cats prone to food sensitivities or allergies,Great source of omega-3 and 6 essential amino acids that help support skin and coat health to keep your cat's fur soft and healthy,Low in saturated fat, high in vitamin B6 and phosphorous, and an excellent source of vitamin B12,Premium, flavorful tuna and clam entrée providing high-quality protein with fish as the first ingredient",33.36,33,0,"Fussie Cat Premium Tuna with Clams Formula in Aspic Grain-Free Canned Cat Food, 2.82-oz, case of 24",4.6,97
Evanger's,"{'Item Number': '60024', 'Breed Size': 'Small Breeds, Medium Breeds, Large Breeds', 'Food Form': 'Treats, Freeze-Dried, Food Topping', 'Lifestage': 'Adult', 'Special Diet': 'Grain-Free, Gluten Free, Limited Ingredient Diet, No Corn No Wheat No Soy'}","Single ingredient salmon treats are nutrient-dense and can be a served as a treat, training award, food topper, or reconstituted in warm water for 3-5 minutes for a savory snack.,Salmon is naturally rich in omegas which help improve skin and coat.,These tasty treats are perfect for finicky dogs or cats!,Grain-free, gluten-free and Kosher certified and endorsed by the Chicago Rabbinical Council (cRc) as acceptable for your pet to enjoy during Passover.,Made in the USA with zero additives or artificial ingredients.",7.68,93,8.39,"Evanger's Nothing but Natural Wild Salmon Gently Dried Dog & Cat Treats, 4.6-oz bag",3.8,75
Holistic Select,"{'Item Number': '76620', 'Weight': '9.75\xa0pounds', 'Packaging Type': 'Can', 'Food Texture': 'Pate', 'Brand': 'WellPet', 'Food Form': 'Wet Food', 'Lifestage': 'Adult, Kitten', 'Special Diet': 'Sensitive Digestion, Grain-Free, No Corn No Wheat No Soy, Pea-Free'}","This unique grain-free canned recipe provides prebiotic support and features botanicals such as pumpkin, papaya and pomegranate for a complete and balanced meal that can be fed alone or used as a topper or mixer with dry food,Pre and probiotics, natural fiber, digestive enzymes and digestive botanicals are all combined with healthy, natural ingredients like fruit and veggies for total body health,Concentrated premium proteins and select active ingredients work together to optimize nutrient absorption for your cat's whole body health and vitality,Delivers digestive enzymes and botanicals to aid digestion and natural fiber to help move waste from the digestive tract through the colon,Prebiotics and probiotics are also included to stimulate the growth of healthy bacteria in the gut, increase nutrient absorption and prevent free radicals from entering the bloodstream",38.28,58,0,Holistic Select Turkey Pate Recipe Grain-Free Canned Cat & Kitten Food,4.3,84
Meow Mix,"{'Item Number': '177928', 'Weight': '3.0\xa0pounds', 'Breed Size': 'Small Breeds, Medium Breeds, Large Breeds', 'Food Form': 'Dry Food', 'Lifestage': 'Adult', 'Special Diet': 'Grain-Free'}","100% free of corn and wheat so felines with certain food allergies can enjoy this tasty recipe.,Crafted with real, wild salmon for the high-quality protein your cat deserves.,Made without ingredients you want your kitty to avoid like fillers, artificial flavors and added preservatives.,Fortified with essential vitamins and minerals for overall health.,Offers your cats of all ages the 100% complete and balanced nutrition she needs.",4.99,193,17.96,Meow Mix Wild Salmon Grain-Free Dry Cat Food,4.7,96
Nutro,"{'Item Number': '176458', 'Weight': '5.0\xa0pounds', 'Food Form': 'Dry Food', 'Lifestage': 'Adult', 'Special Diet': 'High-Protein, Sensitive Digestion, Non-GMO'}",,15.48,10,15.99,"Nutro Wholesome Essentials Sensitive Cat Chicken, Rice & Peas Recipe Dry Cat Food",4.9,100
Merrick,"{'Item Number': '150391', 'Weight': '5.3\xa0pounds', 'Packaging Type': 'Can', 'Food Texture': 'Pate', 'Food Form': 'Wet Food', 'Lifestage': 'Adult', 'Special Diet': 'Limited Ingredient Diet, Grain-Free, No Corn No Wheat No Soy, Gluten Free'}","This limited ingredient diet recipe is carefully crafted with a limited amount of carefully chosen ingredients.,Turkey is listed as the very first ingredient and serves as the only single-source protein.,Contains taurine—an amino acid that helps support your cat’s overall health.,Grain-free and potato-free recipe is a purr-fect option for cats with certain food sensitivities.,Made in the USA with fresh ingredients from family farms across the country.",30.02,18,30.96,"Merrick Limited Ingredient Diet Grain-Free Turkey Canned Cat Food, 2.75-oz, case of 24",4.3,89
Blue Buffalo,"{'Item Number': '149862', 'Weight': '4.5\xa0pounds', 'Packaging Type': 'Can', 'Food Texture': 'Pate', 'Food Form': 'Wet Food', 'Lifestage': 'Adult', 'Special Diet': 'High-Protein, Grain-Free, No Corn No Wheat No Soy, Pea-Free'}","Serves as an excellent grain-free, protein-rich diet with wild salmon, venison and halibut to help build strong muscles.,Natural sources of fiber help to provide optimal nutrient absorption and digestive health.,Contains taurine—an essential amino acid that cats need to help maintain heart and eye health.,Made with zero corn, wheat or soy for sensitive cat companions.,Made without poultry by-product meals or artificial flavors and preservatives.",38.16,21,40.99,"Blue Buffalo Wilderness Denali Dinner with Wild Salmon, Venison & Halibut Grain-Free Canned Cat Food, 3oz, case of 24",4.4,90
Fussie Cat,"{'Item Number': '105720', 'Packaging Type': 'Can', 'Food Texture': 'Stew', 'Food Form': 'Wet Food', 'Lifestage': 'Adult', 'Special Diet': 'Grain-Free, Pea-Free'}","Treat your kitty with this premium chicken and beef dinner,Grain-free and rich in DHA for healthy brain development,Prebiotics promote a healthy digestive system,Contains a complete spectrum of vitamins and minerals,Excellent source of Vitamin B12, Omega-3 and Omega-6 fatty acids",35.76,35,0,"Fussie Cat Super Premium Chicken & Beef Formula in Pumpkin Soup Grain-Free Canned Cat Food, 2.8-oz, case of 24",4.0,86
Fussie Cat,"{'Item Number': '100560', 'Packaging Type': 'Can', 'Food Texture': 'Aspic / Gelee', 'Food Form': 'Wet Food', 'Lifestage': 'Adult', 'Special Diet': 'Grain-Free, Pea-Free'}","Made in a state-of-the-art manufacturing plant,Grain and potato-free: great for cats prone to food sensitivities or allergies,Great source of omega-3 and 6 essential amino acids that help support skin and coat health to keep your cat's fur soft and healthy,Low in saturated fat, high in vitamin B6 and phosphorous, and an excellent source of vitamin B12,Premium, flavorful tuna and threadfish entrÃ©e providing high-quality protein with tuna as the first ingredient",30.59,20,33.36,"Fussie Cat Premium Tuna with Threadfin Bream Formula in Aspic Grain-Free Canned Cat Food, 2.82-oz, case of 24",4.4,84
Ziwi,"{'Item Number': '114609', 'Weight': '14\xa0ounces', 'Brand': 'ZiwiPeak', 'Food Form': 'Air-Dried, Dehydrated', 'Lifestage': 'Adult', 'Special Diet': 'Limited Ingredient Diet, No Corn No Wheat No Soy, Grain-Free, Pea-Free, Non-GMO'}","New Zealand grass-fed lamb and fresh, whole, blue mackerel is 100% sourced from ethical farms.,95% digestible, high-protein and high-kilocalorie diet packs more power than raw food or kibble so you can feed smaller quantities per day.,Complete and balanced, limited-ingredient formula never include grains, corn, soy, potatoes, wheat, rice, fillers, sugars, glycerins, rendered meals or preservatives.,Gentle twin-stage air-drying process eliminates pathogenic bacteria while naturally preserving and protecting the nutrients in all of the ingredients.,Includes 96% fresh meat, organs, bones and New Zealand green musselsâ€”a natural source of chondroitin and glucosamine, which supports joint health.",20.06,64,0,Ziwi Peak Air-Dried Mackerel & Lamb Recipe Cat Food,4.1,86
Natural Balance,"{'Item Number': '50931', 'Packaging Type': 'Pouch', 'Food Texture': 'Chunks in Gravy', 'Food Form': 'Wet Food', 'Lifestage': 'Adult', 'Special Diet': 'Grain-Free, No Corn No Wheat No Soy'}","Gourmet, grain-free wet food features lean, premium-quality turkey, chicken and duck as the top ingredients.,Loaded with wholesome veggies like spinach and pumpkin, and provides a 100% complete and balanced diet for adult cats.,Packed with limited carbohydrate sources for highly-digestible energy, and balanced omega-3 and 6 fatty acids for a healthy skin and coat.,Fortified with vitamins, minerals and essential taurine to help maintain healthy eyes and heart, plus broth for added hydration.,Packed with pride in the USA and made with zero grains, corn, soy, wheat, artificial flavors, colors or bleached ingredients.",25.26,57,30.0,"Natural Balance Platefulls Turkey, Chicken & Duck Formula in Gravy Grain-Free Cat Food Pouches, 3-oz pouch, case of 24",4.3,88
Fancy Feast,"{'Item Number': '101741', 'Packaging Type': 'Pouch', 'Brand': 'Purina', 'Food Form': 'Food Topping', 'Lifestage': 'Adult'}","Made with real mackerel, veggies, fish broth and a touch of milk for a deliciously lappable, lickable treat.,Serve up as a side dish or snack, or as a tasty wet food or kibble topper that’s great for picky eaters.,Easy to use by just swirling pre-portioned packet, tearing open and pouring on the creamy deliciousness.,Made with real fish broth so it’s a great way to add much-needed hydration to keep your pal healthy.,Can be part of a high-protein, balanced and healthy diet, and is prepared with zero by-products or fillers.",18.8,18,0,"Fancy Feast Creamy Broths with Mackerel & Vegetables Supplemental Wet Cat Food Pouches, 1.4-oz pouch, case of 16",4.9,100
Authority,"{'Item Number': '150801', 'Weight': '8.25\xa0pounds', 'Packaging Type': 'Can', 'Food Texture': 'Pate', 'Food Form': 'Wet Food', 'Lifestage': 'Adult'}","High-quality protein sources like real turkey and ocean fish help maintain strong, lean muscles and encourage a healthy heart.,Omega-3 and 6 fatty acids help nourish healthy skin and a shiny coat.,Provides a great source of taurine to support the overall health of your cat companion.,Contains zero artificial colors, flavors, or preservatives.,Made in the USA with domestic and imported ingredients your cat won’t be able to resist.",21.36,13,0,"Authority Turkey & Giblets Entree Adult Pate Canned Cat Food, 5.5-oz, case of 24",3.8,92
Earthborn Holistic,"{'Item Number': '141114', 'Weight': '4.5\xa0pounds', 'Packaging Type': 'Pouch', 'Food Texture': 'Chunks in Gravy', 'Food Form': 'Wet Food', 'Lifestage': 'Adult', 'Special Diet': 'Grain-Free, Gluten Free, Pea-Free'}","Holistic, grain-free formula is made with tuna and salmon as the top ingredients so it’s high in animal sourced protein.,Loaded with protein to support strong muscles, plus vitamin-rich celery for well-rounded nutrition in every bowl and irresistible gravy.,Packed with balanced minerals, vitamins, amino acids and essential taurine to support vision and heart health.,Keeps your pal hydrated and supports urinary health with plenty of moisture and water from real broth.,Made with zero grains and gluten with dolphin-safe tuna and comes in BPA-free, easy-to-use pouches.",23.76,16,0,"Earthborn Holistic Upstream Grille Tuna Dinner with Salmon in Gravy Grain-Free Cat Food Pouches, 3-oz pouch, case of 24",4.5,94
Halo,"{'Item Number': '99154', 'Packaging Type': 'Can', 'Food Texture': 'Pate', 'Food Form': 'Wet Food', 'Lifestage': 'Adult', 'Special Diet': 'Grain-Free, Indoor, Pea-Free'}","Made with real, whole chicken and beef and never any rendered meat meal, like chicken meal or fish meal.,Wholesome, non-GMO spinach, sweet potatoes, carrots and cranberries provide essential antioxidants, fiber and vitamins.,Complete and balanced nutrition is fortified with essential vitamins, minerals and trace nutrients, including taurine for strong, healthy eyes and heart.,Made in the USA with no grains, meat-meals, hormones or antibiotics, as well as no artificial colors, flavors or preservatives; packed in BPA-free cans for safety.,Smooth, delicious texture provides additional hydration and can be used as a delicious topper over dry kibble to entice a finicky eater.",22.85,22,26.88,"Halo Chicken & Beef Recipe Grain-Free Indoor Cat Canned Cat Food, 5.5-oz, case of 12",3.7,82
Purina ONE,"{'Item Number': '91559', 'Packaging Type': 'Can', 'Food Texture': 'Chunks in Gravy', 'Brand': 'Purina', 'Food Form': 'Wet Food', 'Lifestage': 'Adult', 'Special Diet': 'High-Protein, Pea-Free'}","Made with chicken and turkey as the top ingredients to support your cat’s strong muscles.,Formulated with vitamins, minerals, taurine and antioxidants for immune health and overall well-being.,Made with zero fillers because every ingredient in this recipe has a purpose.,Purina ONE is recommended by veterinarians, so you can feel confident feeding your cat this delicious and nutritious recipe.,Nutrient-dense formula provides a 100% balanced and complete diet for cats of all ages.",14.96,33,18.47,"Purina ONE True Instinct Chicken & Turkey Recipe in Gravy Canned Cat Food, 3-oz, case of 24",4.0,85
Vital Essentials,"{'Item Number': '151096', 'Weight': '8\xa0ounces', 'Food Form': 'Freeze-Dried', 'Lifestage': 'Adult', 'Special Diet': 'Gluten Free, Grain-Free, Limited Ingredient Diet, Pea-Free'}","Vital Essentials uses only USDA certified and inspected animal protein proudly made and packaged in the heartland of the USA.,Promotes digestive health, oral health, optimum weight, thick glossy coats, firm muscles and strong bones.,Grain-free and gluten-free recipe made with no added hormones, antibiotics, fillers or flavorings or artificial preservatives, colors or synthetic vitamins/minerals.,Supports the ALPHA Prey–Model Diet that is the closest to a feline’s natural diet in the wild.,Formulated to meet the nutritional levels established by the AAFCO Cat Food Nutrient Profiles for all life stages.",25.34,18,25.99,"Vital Essentials Rabbit Mini Patties Grain Free Limited Ingredient Freeze-Dried Cat Food, 8-oz bag",3.9,83
Pro Pac,"{'Item Number': '92670', 'Weight': '14.0\xa0pounds', 'Food Form': 'Dry Food', 'Lifestage': 'Adult', 'Special Diet': 'Indoor, Grain-Free'}","Nutritionally balanced grain-free formula that's great for sensitive cats. Premium high quality whitefish meal is the primary protein source which helps to build and maintain strong muscles.,Fortified with Omega-6 and Omega-3 fatty acids to support skin and coat health. Vitamins E and C, along with antioxidant rich fruits and veggies help to support good digestion and intestinal health.,Balanced levels of calcium and phosphorus help build strong bones and the crunchy kibble helps to clean teeth and freshen breath.,Added fiber aids in the control of hairballs and Taurine, an amino acid, helps support normal heart muscle function and eyesight.,Made in the USA!",27.99,46,0,Pro Pac Ultimates Deep Sea Select Whitefish Grain-Free Indoor Dry Cat Food,4.3,89
Halo,"{'Item Number': '77066', 'Packaging Type': 'Can', 'Food Texture': 'Pate', 'Food Form': 'Wet Food', 'Lifestage': 'Adult', 'Special Diet': 'Grain-Free, Sensitive Digestion, Pea-Free'}","Made with real, whole poultry and never any rendered meat meal, like chicken meal or fish meal.,Special recipe is formulated with novel proteins and non-GMO greens like dandelion, barley grass and parsley to support easy digestion.,Complete and balanced nutrition is fortified with essential vitamins, minerals and trace nutrients, including taurine for strong, healthy eyes and heart.,Made in the USA with no grains, meat-meals, hormones or antibiotics, as well as no artificial colors, flavors or preservatives; packed in BPA-free cans for safety.,Smooth, delicious texture provides additional hydration and can be used as a delicious topper over dry kibble to entice a finicky eater.",23.66,73,26.52,"Halo Quail & Garden Greens Recipe Grain-Free Sensitive Stomach Canned Cat Food, 5.5-oz, case of 12",3.6,69
Earthborn Holistic,"{'Item Number': '141107', 'Weight': '4.5\xa0pounds', 'Packaging Type': 'Pouch', 'Food Texture': 'Chunks in Gravy', 'Food Form': 'Wet Food', 'Lifestage': 'Adult', 'Special Diet': 'Grain-Free, Gluten Free, Pea-Free'}","Holistic, grain-free formula is made with tuna and mackerel as the top ingredients so it’s high in animal sourced protein.,Loaded with protein to support strong muscles, plus vitamin-rich celery for well-rounded nutrition in every bowl and irresistible gravy.,Packed with balanced minerals, vitamins, amino acids and essential taurine to support vision and heart health.,Keeps your pal hydrated and supports urinary health with plenty of moisture and water from real broth.,Made with zero grains and gluten with dolphin-safe tuna and comes in BPA-free, easy-to-use pouches.",23.76,37,0,"Earthborn Holistic Key West Zest Tuna Dinner with Mackerel in Gravy Grain-Free Cat Food Pouches, 3-oz pouch, case of 24",4.5,89
Miko,"{'Item Number': '149495', 'Packaging Type': 'Can', 'Food Texture': 'Shredded', 'Food Form': 'Wet Food', 'Lifestage': 'Adult', 'Special Diet': 'Grain-Free, Gluten Free, No Corn No Wheat No Soy, Pea-Free'}","Based on a prey-based, feline-appropriate diet with real, shredded chicken and turkey in a savory broth.,A protein-first approach to nutrition—95% chicken, chicken broth and turkey, plus 5% vitamins, minerals and other nutrients.,Cooked in real broth which helps add a healthy boost of hydration for cats in every meal.,Complete and balanced with added vitamins, minerals and taurine, an amino acid that’s essential to feline heart and vision health.,Zero grains, wheat, corn, soy, carrageenan, potatoes, plant proteins, synthetic flavor enhancers, antibiotics, MSG or artificial flavors, colors or preservatives.",12.99,68,0,"Miko Whole Ingredient Chicken & Turkey Recipe in Consommé Grain-Free Canned Cat Food, 3-oz, case of 12",3.5,71
Tiny Tiger,"{'Item Number': '147778', 'Weight': '4.5\xa0pounds', 'Packaging Type': 'Can', 'Food Texture': 'Chunks in Gravy', 'Food Form': 'Wet Food', 'Lifestage': 'Adult', 'Special Diet': 'Grain-Free, Gluten Free, No Corn No Wheat No Soy, Pea-Free'}","Grain-free recipe with chunks of real beef as the first ingredient for the protein and flavor cats crave.,Provides high-quality animal protein for the amino acids needed to maintain lean, active muscles.,Extra gravy keeps them coming back to the bowl, and has real broth for healthy hydration.,A complete and balanced meal in every bowl, with vitamins, minerals and essential taurine.,Available in a range of proteins for the variety cats love, with never any grains, corn, wheat, soy or carrageenan.",12.99,57,0,"Tiny Tiger Chunks in EXTRA Gravy Beef Recipe Grain-Free Canned Cat Food, 3-oz, case of 24",4.2,84
Merrick,"{'Item Number': '64314', 'Packaging Type': 'Can', 'Food Texture': 'Minced', 'Food Form': 'Wet Food', 'Lifestage': 'Adult', 'Special Diet': 'Grain-Free, Gluten Free, No Corn No Wheat No Soy, High-Protein'}","Grain-free recipe features protein-rich chicken as the first ingredient for the nutrients to support healthy muscles and energy.,Formulated to provide a complete and balanced diet for cats and kittens, with targeted blend of vitamins, minerals and taurine.,Packed with antioxidants for immune health and omega-3 fatty acids to support a healthy skin and lustrous fur.,Made with a delectable gravy that’s great for picky eaters, and provides essential moisture to keep your pal hydrated and healthy.,Made in the USA with zero grains, wheat, corn, soy, artificial colors, flavors or preservatives and contains yucca schidigera to promote gentle digestion.",38.66,64,0,Merrick Purrfect Bistro Grain-Free Grammy's Pot Pie Minced in Gravy Canned Cat Food,3.8,84
Solid Gold,"{'Item Number': '99190', 'Packaging Type': 'Can', 'Food Texture': 'Chunks in Gravy', 'Food Form': 'Wet Food', 'Lifestage': 'Adult', 'Special Diet': 'No Corn No Wheat No Soy, Grain-Free, Gluten Free, Pea-Free'}","Contains real sardines and tuna because your furry friend deserves nothing but the best.,Vitamins, minerals and taurine provide your cat with the complete and balanced nutrition she deserves.,Free of gluten, grains, added sugars, fillers, by-products, artificial coloring, flavoring or preservatives.,Delectable gravy marinade pairs purr-fectly with your kitty’s favorite kibble.,Suitable for all life stages from kittens to cats.",15.12,47,15.92,Solid Gold Five Oceans Sardines & Tuna Recipe in Gravy Grain-Free Canned Cat Food,4.6,87
Nutro,"{'Item Number': '176461', 'Weight': '5.0\xa0pounds', 'Food Form': 'Dry Food', 'Lifestage': 'Adult', 'Special Diet': 'High-Protein, Sensitive Digestion, Non-GMO'}","Features real chicken as the very first ingredient and contains natural fiber for to encourage healthy digestion.,Contains vitamins, minerals, antioxidants and other nutrients to support overall health.,Specially designed for adult cats 1-year and older.,Crafted with zero GMO ingredients, chicken by-product meal, artificial preservatives, flavors or colors.,Free of common food allergens like corn, wheat and soy protein.",15.48,4,15.99,Nutro Wholesome Essentials Adult Chicken & Brown Rice Recipe Dry Cat Food,5.0,100
